osm_id,name,WKT
38460665,Croix d'Argent,MULTIPOINT (3.8664382 43.5925048)
60025037,Corum,MULTIPOINT (3.8819569 43.614251)
60025046,Louis Blanc,MULTIPOINT (3.8781164 43.6147338)
60025062,Stade Philippidès,MULTIPOINT (3.8694871 43.6189067)
60025069,Saint-Éloi,MULTIPOINT (3.8658015 43.6269267)
60025122,Malbosc,MULTIPOINT (3.8332043 43.6346401)
60722751,Rives du Lez,MULTIPOINT (3.8948873 43.6041858)
60732076,Moularès (Hôtel de Ville),MULTIPOINT (3.8955449 43.6005714)
60939764,Comédie,MULTIPOINT (3.8796741 43.60835)
61094962,Gare Saint-Roch,MULTIPOINT (3.8801992 43.6056584)
61103414,Place Albert 1er,MULTIPOINT (3.8741187 43.6164766)
70972317,Corum,MULTIPOINT (3.8819233 43.6144427)
74943027,Aiguelongue,MULTIPOINT (3.8833184 43.626274)
101499645,Charles de Gaulle,MULTIPOINT (3.8976846 43.6285691)
119409072,Saint-Lazare,MULTIPOINT (3.8887704 43.6267745)
126601804,Boutonnet,MULTIPOINT (3.8681444 43.6224984)
148694939,Jeu de Mail des Abbés,MULTIPOINT (3.8840706 43.6204816)
224660817,Beaux-Arts,MULTIPOINT (3.8835972 43.6170502)
231389156,Place Carnot,MULTIPOINT (3.8842954 43.6036345)
231389166,Voltaire,MULTIPOINT (3.8892253 43.6037049)
231454791,Rives du Lez,MULTIPOINT (3.8940022 43.603993)
231454841,Les Aubes,MULTIPOINT (3.8883314 43.6139508)
231529652,Saint-Cléophas,MULTIPOINT (3.8760145 43.594954)
231532087,Mas Drevon,MULTIPOINT (3.8679574 43.5955627)
231578457,Saint-Jean-de-Védas Centre,MULTIPOINT (3.8306564 43.5748738)
231578469,Saint-Jean-le-Sec,MULTIPOINT (3.8380381 43.5708163)
231578480,La Condamine,MULTIPOINT (3.8444363 43.5719919)
231578510,Sabines,MULTIPOINT (3.8601051 43.583879)
250677074,Pompignane,MULTIPOINT (3.8949065 43.6125111)
265410397,Antigone,MULTIPOINT (3.8866898 43.6086092)
267847611,Léon Blum,MULTIPOINT (3.8902941 43.6088993)
267929741,Place de l'Europe,MULTIPOINT (3.8939097 43.6072981)
279249812,Victoire 2,MULTIPOINT (3.8499642 43.5752209)
279556951,Rondelet,MULTIPOINT (3.8761818 43.6030665)
281177110,Port Marianne,MULTIPOINT (3.8999674 43.6017089)
281177205,Place de France,MULTIPOINT (3.9157023 43.6037495)
281259064,Lemasson,MULTIPOINT (3.8731927 43.59358)
281259065,Villeneuve d'Angoulême,MULTIPOINT (3.865695 43.5888673)
281570631,Stade de la Mosson,MULTIPOINT (3.8173611 43.6212576)
308531607,Jacou,MULTIPOINT (3.9128047 43.6545596)
308734763,Via Domitia,MULTIPOINT (3.9294517 43.6468218)
308735605,Aube Rouge,MULTIPOINT (3.9248354 43.638641)
317827428,Millénaire,MULTIPOINT (3.9100221 43.6033557)
317827455,Mondial 98,MULTIPOINT (3.9041182 43.6027649)
317829490,Universités des Sciences et Lettres,MULTIPOINT (3.8616709 43.6291563)
317829573,Hôpital Lapeyronie,MULTIPOINT (3.8525865 43.6316941)
317829604,Occitanie,MULTIPOINT (3.8483979 43.6347952)
317830323,Château d'Ô,MULTIPOINT (3.8430532 43.6316074)
317830790,Euromédecine,MULTIPOINT (3.8276286 43.6389849)
317830908,Hauts de Massane,MULTIPOINT (3.8226703 43.6362734)
317831067,Saint-Paul,MULTIPOINT (3.8210035 43.6306938)
317831124,Halles de la Paillade,MULTIPOINT (3.8174933 43.6275357)
350510758,Nouveau Saint-Roch,MULTIPOINT (3.8756775 43.5994208)
368004431,Georges Pompidou,MULTIPOINT (3.9210111 43.6493863)
945144528,Notre-Dame de Sablassou,MULTIPOINT (3.9223924 43.6342577)
945144532,Centurions,MULTIPOINT (3.9156202 43.6327809)
945144547,La Galine,MULTIPOINT (3.9089161 43.6314427)
945144550,Clairval,MULTIPOINT (3.9025061 43.6301628)
947038576,Odysseum,MULTIPOINT (3.9204115 43.6038428)
1253673426,Gare Saint-Roch,MULTIPOINT (3.8797962 43.6051723)
1325372165,Georges Frêche - Hôtel de ville,MULTIPOINT (3.8949293 43.5994093)
1325390524,Mosson,MULTIPOINT (3.8196475 43.6161402)
1433104540,Pergola,MULTIPOINT (3.8397593 43.6174105)
1503531720,Pérols - Étang de l'Or,MULTIPOINT (3.9636059 43.5579423)
1503531737,Écopôle,MULTIPOINT (3.9352762 43.5779836)
1504387689,Tonnelles,MULTIPOINT (3.8397933 43.6134871)
1504405475,Jules Guesde,MULTIPOINT (3.8467949 43.6113243)
1504405479,Astruc,MULTIPOINT (3.855048 43.6102597)
