r_full_id,relation,m_full_id,ref,type,role,sequence,tram_stops_osm_id,tram_stops_osm_type,tram_stops_name
r1852816,1852816,n61103414,61103414,node,stop,16,61103414,node,Place Albert 1er
r1852816,1852816,n60025046,60025046,node,stop,17,60025046,node,Louis Blanc
r1852816,1852816,n60025037,60025037,node,stop,18,60025037,node,Corum
r1852816,1852816,n231454841,231454841,node,stop,19,231454841,node,Les Aubes
r1852816,1852816,n250677074,250677074,node,stop,20,250677074,node,Pompignane
r1852816,1852816,n267929741,267929741,node,stop,21,267929741,node,Place de l'Europe
r1852816,1852816,n60722751,60722751,node,stop,22,60722751,node,Rives du Lez
r1852816,1852816,n60732076,60732076,node,stop,23,60732076,node,Moularès (Hôtel de Ville)
r1852816,1852816,n1325372165,1325372165,node,stop,24,1325372165,node,Georges Frêche - Hôtel de ville
r1852816,1852816,n1506442723,1506442723,node,stop,25,1506442723,node,La Rauze
r1852816,1852816,n1506442726,1506442726,node,stop,26,1506442726,node,Garcia Lorca
r1852816,1852816,n1934914135,1934914135,node,stop,27,1934914135,node,Restanque
r1852816,1852816,n2564674976,2564674976,node,stop,28,2564674976,node,Saint-Martin
r1852816,1852816,n350510758,350510758,node,stop,29,350510758,node,Nouveau Saint-Roch
r1852816,1852816,n279556951,279556951,node,stop,30,279556951,node,Rondelet
r1852816,1852816,n1680783345,1680783345,node,stop,31,1680783345,node,Gare Saint-Roch
r1852816,1852816,n1506452485,1506452485,node,stop,32,1506452485,node,Observatoire
r1852816,1852816,n1675121446,1675121446,node,stop,33,1675121446,node,Saint-Denis
r4107686,4107686,n1675121446,1675121446,node,stop,16,1675121446,node,Saint-Denis
r4107686,4107686,n1585675583,1585675583,node,stop,17,1585675583,node,Observatoire
r4107686,4107686,n1253673426,1253673426,node,stop,18,1253673426,node,Gare Saint-Roch
r4107686,4107686,n1547396457,1547396457,node,stop,19,1547396457,node,Rondelet
r4107686,4107686,n1547396442,1547396442,node,stop,20,1547396442,node,Nouveau Saint-Roch
r4107686,4107686,n1623916618,1623916618,node,stop,21,1623916618,node,Saint-Martin
r4107686,4107686,n1934914134,1934914134,node,stop,22,1934914134,node,Restanque
r4107686,4107686,n1681472362,1681472362,node,stop,23,1681472362,node,Garcia Lorca
r4107686,4107686,n1623916533,1623916533,node,stop,24,1623916533,node,La Rauze
r4107686,4107686,n1623916826,1623916826,node,stop,25,1623916826,node,Georges Frêche - Hôtel de ville
r4107686,4107686,n2565144095,2565144095,node,stop,26,2565144095,node,Moularès (Hôtel de Ville)
r4107686,4107686,n2575586331,2575586331,node,stop,27,2575586331,node,Rives du Lez
r4107686,4107686,n2575586432,2575586432,node,stop,28,2575586432,node,Place de l'Europe
r4107686,4107686,n3118523798,3118523798,node,stop,29,3118523798,node,Pompignane
r4107686,4107686,n3118523797,3118523797,node,stop,30,3118523797,node,Les Aubes
r4107686,4107686,n3118400914,3118400914,node,stop,31,3118400914,node,Corum
r4107686,4107686,n3118400917,3118400917,node,stop,32,3118400917,node,Louis Blanc
r4107686,4107686,n3118400918,3118400918,node,stop,33,3118400918,node,Place Albert 1er
r4107771,4107771,n308531607,308531607,node,stop,39,308531607,node,Jacou
r4107771,4107771,n1547404590,1547404590,node,stop,40,1547404590,node,Georges Pompidou
r4107771,4107771,n1547411650,1547411650,node,stop,41,1547411650,node,Via Domitia
r4107771,4107771,n1547420308,1547420308,node,stop,42,1547420308,node,Aube Rouge
r4107771,4107771,n1547429119,1547429119,node,stop,43,1547429119,node,Notre-Dame de Sablassou
r4107771,4107771,n945144532,945144532,node,stop,44,945144532,node,Centurions
r4107771,4107771,n945144547,945144547,node,stop,45,945144547,node,La Galine
r4107771,4107771,n945144550,945144550,node,stop,46,945144550,node,Clairval
r4107771,4107771,n101499645,101499645,node,stop,47,101499645,node,Charles de Gaulle
r4107771,4107771,n3118402938,3118402938,node,stop,48,3118402938,node,Saint-Lazare
r4107771,4107771,n3118400912,3118400912,node,stop,49,3118400912,node,Aiguelongue
r4107771,4107771,n3118400916,3118400916,node,stop,50,3118400916,node,Jeu de Mail des Abbés
r4107771,4107771,n3118400913,3118400913,node,stop,51,3118400913,node,Beaux-Arts
r4107771,4107771,n3118400915,3118400915,node,stop,52,3118400915,node,Corum
r4107771,4107771,n60939764,60939764,node,stop,53,60939764,node,Comédie
r4107771,4107771,n61094962,61094962,node,stop,54,61094962,node,Gare Saint-Roch
r4107771,4107771,n1547396457,1547396457,node,stop,55,1547396457,node,Rondelet
r4107771,4107771,n1547396442,1547396442,node,stop,56,1547396442,node,Nouveau Saint-Roch
r4107771,4107771,n1547384911,1547384911,node,stop,57,1547384911,node,Saint-Cléophas
r4107771,4107771,n1547384953,1547384953,node,stop,58,1547384953,node,Lemasson
r4107771,4107771,n1547375469,1547375469,node,stop,59,1547375469,node,Mas Drevon
r4107771,4107771,n1547373347,1547373347,node,stop,60,1547373347,node,Croix d'Argent
r4107771,4107771,n1547362409,1547362409,node,stop,61,1547362409,node,Villeneuve d'Angoulême
r4107771,4107771,n1540210571,1540210571,node,stop,62,1540210571,node,Sabines
r4107771,4107771,n3124581464,3124581464,node,stop,63,3124581464,node,Victoire 2
r4107771,4107771,n231578480,231578480,node,stop,64,231578480,node,La Condamine
r4107771,4107771,n1540200957,1540200957,node,stop,65,1540200957,node,Saint-Jean-le-Sec
r4107771,4107771,n1540197414,1540197414,node,stop,66,1540197414,node,Saint-Jean-de-Védas Centre
r4107772,4107772,n231578457,231578457,node,stop,37,231578457,node,Saint-Jean-de-Védas Centre
r4107772,4107772,n231578469,231578469,node,stop,38,231578469,node,Saint-Jean-le-Sec
r4107772,4107772,n231578480,231578480,node,stop,39,231578480,node,La Condamine
r4107772,4107772,n279249812,279249812,node,stop,40,279249812,node,Victoire 2
r4107772,4107772,n231578510,231578510,node,stop,41,231578510,node,Sabines
